,irs_zip_code,Total_income_A02650,Total_returns_N02650
22205,57003,91144.0,1010.0
22206,57004,127788.0,1720.0
22207,57005,576445.0,5950.0
22208,57006,919121.0,10390.0
22209,57010,23627.0001,270.0
22210,57012,47294.0,610.0
22211,57013,162901.0,2170.0
22212,57014,43810.0001,680.0
22213,57015,36635.0,420.0
22214,57016,24668.0001,340.0
22215,57017,46253.0001,650.0
22216,57018,54115.0001,690.0
22217,57020,68045.0,830.0
22218,57021,7673.0002,130.0
22219,57022,224364.0,2580.0
22220,57024,10242.0002,160.0
22221,57025,107394.0,1370.0
22222,57026,45899.0,620.0
22223,57028,87103.0,1510.0
22224,57029,64247.0,990.0
22225,57030,124457.0,1500.0
22226,57031,19510.0,330.0
22227,57032,402736.0,4090.0
22228,57033,232864.0,2680.0
22229,57034,25775.0001,330.0
22230,57035,47440.0,610.0
22231,57036,26983.0,400.0
22232,57037,23830.0,420.0
22233,57038,104107.0,830.0
22234,57039,128707.0,1730.0
22235,57040,9917.0002,180.0
22236,57042,262963.0,3790.0
22237,57043,43346.0001,630.0
22238,57045,29145.0,460.0
22239,57046,18300.0,310.0
22240,57047,6130.0002,100.0
22241,57048,38953.0001,520.0
22242,57049,1076198.0,4010.0
22243,57051,8520.0002,130.0
22244,57052,7063.0002,130.0
22245,57053,70391.0,990.0
22246,57054,14930.0002,220.0
22247,57055,68457.0,570.0
22248,57058,61248.0,920.0
22249,57059,35448.0,570.0
22250,57062,35732.0,600.0
22251,57063,26304.0,450.0
22252,57064,275734.0,3370.0
22253,57065,10354.0003,180.0
22254,57066,45719.0001,690.0
22255,57067,11519.0,180.0
22256,57068,66983.0,780.0
22257,57069,277824.0,4460.0
22258,57070,35868.0,600.0
22259,57071,110848.0,1500.0
22260,57072,18467.0001,310.0
22261,57073,16517.0,280.0
22262,57075,75150.0,600.0
22263,57076,10878.0001,130.0
22264,57077,50212.0001,650.0
22265,57078,688106.0,9490.0
22266,57103,1367080.0,19230.0
22267,57104,950200.0,15740.0
22268,57105,1070559.0,11300.0
22269,57106,1680398.0,24170.0
22270,57107,384336.0,5960.0
22271,57108,2405824.0,16650.0
22272,57110,996516.0,11340.0
22273,57201,907539.0,13020.0
22274,57212,81413.0,1120.0
22275,57213,8286.0002,130.0
22276,57216,42704.0,550.0
22277,57218,8376.0002,140.0
22278,57219,14825.0001,230.0
22279,57220,29814.0,370.0
22280,57221,25356.0,350.0
22281,57223,44459.0001,670.0
22282,57225,57634.0,830.0
22283,57226,60146.0,960.0
22284,57227,12418.0001,180.0
22285,57231,58969.0,790.0
22286,57232,9875.0001,160.0
22287,57234,37706.0001,550.0
22288,57235,26995.0,370.0
22289,57237,28497.0,330.0
22290,57238,13957.0002,220.0
22291,57239,10429.0002,110.0
22292,57241,34220.0001,490.0
22293,57242,15007.0002,190.0
22294,57243,15549.0002,270.0
22295,57247,12949.0002,170.0
22296,57248,36790.0,550.0
22297,57249,33441.0001,470.0
22298,57252,172471.0,2380.0
22299,57255,13350.0002,220.0
22300,57257,10227.0002,260.0
22301,57259,15269.0001,220.0
22302,57260,35617.0,460.0
22303,57261,8503.0002,140.0
22304,57262,108559.0,2180.0
22305,57263,11017.0002,210.0
22306,57266,13589.0002,260.0
22307,57268,14713.0002,200.0
22308,57269,15379.0002,190.0
22309,57270,13540.0001,240.0
22310,57273,25192.0,510.0
22311,57274,87355.0,1360.0
22312,57276,36058.0,560.0
22313,57278,16708.0,270.0
22314,57279,32606.0,500.0
22315,57301,708808.0,9110.0
22316,57311,41627.0,570.0
22317,57312,17098.0002,220.0
22318,57313,35673.0001,530.0
22319,57314,17099.0002,260.0
22320,57315,28199.0,450.0
22321,57317,10334.0002,210.0
22322,57319,26596.0,440.0
22323,57321,9981.0002,160.0
22324,57322,7724.0002,110.0
22325,57323,7024.0002,90.0
22326,57324,13089.0002,180.0
22327,57325,100392.0,1580.0
22328,57328,38795.0,490.0
22329,57330,9820.0002,160.0
22330,57331,13958.0002,220.0
22331,57332,68601.0,970.0
22332,57334,23105.0,410.0
22333,57335,5247.0001,100.0
22334,57339,13783.0002,490.0
22335,57340,12616.0001,150.0
22336,57342,21294.0001,250.0
22337,57345,35199.0001,530.0
22338,57348,19800.0,240.0
22339,57349,43856.0,680.0
22340,57350,449958.0,7310.0
22341,57353,23776.0,340.0
22342,57355,28112.0,470.0
22343,57356,29431.0,630.0
22344,57359,21435.0001,290.0
22345,57362,64285.0,920.0
22346,57363,29528.0,440.0
22347,57365,12703.0002,230.0
22348,57366,73161.0,1070.0
22349,57368,34091.0,570.0
22350,57369,89797.0,1100.0
22351,57370,20023.0001,360.0
22352,57371,7508.0002,110.0
22353,57373,13782.0001,190.0
22354,57374,10403.0002,170.0
22355,57375,19717.0,300.0
22356,57376,23445.0,420.0
22357,57380,64797.0,1190.0
22358,57381,16432.0001,240.0
22359,57382,34491.0,590.0
22360,57383,19249.0001,330.0
22361,57384,27355.0,410.0
22362,57385,30500.0,590.0
22363,57401,1142715.0,15550.0
22364,57422,7497.0003,110.0
22365,57424,8289.0001,120.0
22366,57427,28056.0002,300.0
22367,57428,22867.0,290.0
22368,57430,70136.0,990.0
22369,57432,11182.0001,160.0
22370,57433,13902.0002,190.0
22371,57434,13172.0002,190.0
22372,57435,8129.0001,110.0
22373,57436,13561.0001,200.0
22374,57437,36475.0001,560.0
22375,57438,39515.0,500.0
22376,57440,12907.0001,270.0
22377,57441,18028.0001,260.0
22378,57442,63905.0,800.0
22379,57445,81514.0,980.0
22380,57446,10983.0002,180.0
22381,57448,9760.0002,140.0
22382,57450,25888.0,290.0
22383,57451,94017.0,1010.0
22384,57452,7128.0002,140.0
22385,57454,18376.0002,250.0
22386,57456,22273.0,370.0
22387,57460,13889.0002,160.0
22388,57461,16189.0001,180.0
22389,57465,20275.0001,180.0
22390,57467,9999.0002,130.0
22391,57468,8719.0002,120.0
22392,57469,97722.0,1460.0
22393,57471,28167.0001,270.0
22394,57472,33075.0,430.0
22395,57474,9835.0002,120.0
22396,57476,17383.0001,210.0
22397,57479,31307.0002,300.0
22398,57481,13606.0002,200.0
22399,57501,610013.0,8430.0
22400,57522,14959.0001,210.0
22401,57523,33475.0,500.0
22402,57528,15963.0001,320.0
22403,57529,7914.0001,170.0
22404,57532,127156.0,1590.0
22405,57533,48971.0001,880.0
22406,57536,16571.0002,230.0
22407,57538,7021.0,120.0
22408,57543,19129.0,390.0
22409,57544,15664.0001,220.0
22410,57548,14674.0002,460.0
22411,57551,44727.0,880.0
22412,57552,17466.0001,260.0
22413,57555,52139.0,1330.0
22414,57559,18238.0,330.0
22415,57560,3620.0002,110.0
22416,57564,45670.0,490.0
22417,57566,7192.0002,260.0
22418,57567,47831.0,700.0
22419,57568,23543.0,350.0
22420,57569,11650.0,180.0
22421,57572,12502.0002,440.0
22422,57577,9379.0001,370.0
22423,57579,19838.0001,440.0
22424,57580,122474.0,1880.0
22425,57601,111663.0,1840.0
22426,57620,14365.0,220.0
22427,57623,17359.0,390.0
22428,57625,72965.0001,1730.0
22429,57626,19529.0,410.0
22430,57631,14246.0001,160.0
22431,57632,21463.0,320.0
22432,57633,11166.0001,190.0
22433,57638,37310.0,720.0
22434,57642,24657.0001,600.0
22435,57644,9917.0002,130.0
22436,57646,7761.0002,110.0
22437,57648,9562.0001,170.0
22438,57649,6339.0002,110.0
22439,57652,3465.0,110.0
22440,57656,25779.0,360.0
22441,57658,2435.0,120.0
22442,57701,1159177.0,21640.0
22443,57702,1733707.0,17300.0
22444,57703,508046.0,8680.0
22445,57706,36967.0001,1040.0
22446,57714,6779.0002,280.0
22447,57716,6701.0003,170.0
22448,57717,227344.0,4000.0
22449,57718,254427.0,3670.0
22450,57719,705914.0,10060.0
22451,57720,25354.0,310.0
22452,57722,6838.0002,140.0
22453,57725,6078.0002,100.0
22454,57730,207964.0,2780.0
22455,57732,97057.0,1300.0
22456,57735,30867.0,610.0
22457,57738,5409.0002,110.0
22458,57744,96015.0,1290.0
22459,57745,120797.0,1180.0
22460,57747,179823.0,2990.0
22461,57750,5905.0002,130.0
22462,57751,30836.0001,480.0
22463,57752,28024.0002,840.0
22464,57754,116040.0,1790.0
22465,57759,16213.0002,170.0
22466,57760,29653.0,530.0
22467,57761,37126.0001,580.0
22468,57762,11600.0002,240.0
22469,57763,7475.0002,130.0
22470,57764,14002.0002,530.0
22471,57766,5604.0003,110.0
22472,57769,185202.0,2180.0
22473,57770,69904.0,1980.0
22474,57772,21229.0002,590.0
22475,57779,11409.0002,160.0
22476,57783,707253.0,8390.0
22477,57785,308008.0,4820.0
22478,57787,6872.0002,150.0
22479,57788,12522.0001,240.0
22480,57790,41182.0,540.0
22481,57793,66963.0,1020.0
22482,57794,3206.0,160.0
22483,99999,569137.0,8320.0
22484,0,225846340.0,3229290.0
22485,37010,239165.0,2750.0
22486,37012,50648.0,1070.0
22487,37013,2083239.0,47310.0
22488,37014,219951.0,1300.0
22489,37015,531151.0,9170.0
22490,37016,27532.0,420.0
22491,37018,57934.0001,1040.0
22492,37019,20584.0001,470.0
22493,37020,179072.0,2500.0
22494,37022,168621.0,2880.0
22495,37023,35970.0,740.0
22496,37025,172136.0,3090.0
22497,37026,55522.0,1080.0
22498,37027,6283229.0,28250.0
22499,37028,16459.0001,310.0
22500,37029,253284.0,3180.0
22501,37030,190352.0,3250.0
22502,37031,132637.0,2110.0
22503,37032,140810.0,2280.0
22504,37033,169148.0,3290.0
22505,37034,258021.0,4000.0
22506,37035,105740.0,1810.0
22507,37036,169009.0,2910.0
22508,37037,322356.0,4420.0
22509,37040,1350609.0,26850.0
22510,37042,1664295.0,39100.0
22511,37043,2022717.0,25890.0
22512,37046,641695.0,2980.0
22513,37047,71134.0001,1220.0
22514,37048,239005.0,3090.0
22515,37049,116562.0,1850.0
22516,37050,38945.0,790.0
22517,37051,94930.0001,1680.0
22518,37052,78686.0,1280.0
22519,37055,741348.0,13530.0
22520,37057,21215.0,440.0
22521,37058,173799.0,3180.0
22522,37059,32870.0,730.0
22523,37060,103432.0,1400.0
22524,37061,106661.0,2130.0
22525,37062,437279.0,5840.0
22526,37064,4527629.0,29070.0
22527,37066,2464335.0,29210.0
22528,37067,2072935.0,15110.0
22529,37069,2066211.0,9510.0
22530,37072,1052485.0,16060.0
22531,37073,468716.0,7130.0
22532,37074,183590.0,3980.0
22533,37075,2920620.0,34330.0
22534,37076,1244570.0,21000.0
22535,37078,17853.0002,280.0
22536,37079,60451.0,1200.0
22537,37080,231992.0,3780.0
22538,37082,242622.0,3070.0
22539,37083,319206.0,6690.0
22540,37085,214673.0,2450.0
22541,37086,812591.0,18110.0
22542,37087,1751313.0,25130.0
22543,37090,708140.0,9980.0
22544,37091,556247.0,10580.0
22545,37095,42412.0,850.0
22546,37096,115829.0,2420.0
22547,37097,41593.0,900.0
22548,37098,111247.0,2420.0
22549,37101,168100.0,2960.0
22550,37110,660197.0,14230.0
22551,37115,765628.0,18600.0
22552,37118,66708.0,700.0
22553,37122,2817404.0,31340.0
22554,37127,633111.0,9820.0
22555,37128,2384732.0,34950.0
22556,37129,2247463.0,30070.0
22557,37130,1559843.0,27420.0
22558,37134,79557.0001,1420.0
22559,37135,1232484.0,9580.0
22560,37137,61173.0,1280.0
22561,37138,938179.0,12100.0
22562,37140,3239.0001,330.0
22563,37141,33179.0,620.0
22564,37142,61501.0,890.0
22565,37143,133553.0,2010.0
22566,37144,81699.0001,1480.0
22567,37145,55516.0,1090.0
22568,37146,295184.0,3980.0
22569,37148,679136.0,11720.0
22570,37149,84838.0,1240.0
22571,37150,84069.0,1930.0
22572,37151,14216.0002,240.0
22573,37153,204629.0,2710.0
22574,37160,821927.0,16110.0
22575,37166,334462.0,6410.0
22576,37167,1736678.0,30660.0
22577,37171,28656.0,540.0
22578,37172,978080.0,14990.0
22579,37174,1864760.0,23280.0
22580,37175,20971.0001,430.0
22581,37178,49337.0,990.0
22582,37179,886916.0,7720.0
22583,37180,85769.0,1580.0
22584,37181,33680.0,640.0
22585,37183,105053.0,1630.0
22586,37184,174445.0,2970.0
22587,37185,203039.0,3830.0
22588,37186,209610.0,4350.0
22589,37187,199478.0,3600.0
22590,37188,550971.0,8550.0
22591,37189,121586.0,1960.0
22592,37190,213125.0,4100.0
22593,37191,111507.0001,1940.0
22594,37201,122294.0,960.0
22595,37203,1966119.0,11930.0
22596,37204,1345943.0,7590.0
22597,37205,3994487.0,12660.0
22598,37206,1224373.0,15040.0
22599,37207,867057.0,20730.0
22600,37208,618253.0,10210.0
22601,37209,1595241.0,22110.0
22602,37210,370202.0,7900.0
22603,37211,2047689.0,36570.0
22604,37212,1322746.0,6990.0
22605,37214,941427.0,17580.0
22606,37215,3739861.0,11920.0
22607,37216,688035.0,10450.0
22608,37217,644757.0,15550.0
22609,37218,350510.0,7490.0
22610,37219,213271.0,1320.0
22611,37220,772152.0,3240.0
22612,37221,2005025.0,22000.0
22613,37228,81394.0001,1460.0
22614,37301,34227.0,780.0
22615,37302,238838.0,2270.0
22616,37303,590993.0,11410.0
22617,37305,10491.0002,290.0
22618,37306,68854.0,1260.0
22619,37307,115415.0,2240.0
22620,37308,75270.0001,1340.0
22621,37309,48664.0,970.0
22622,37310,131809.0,2090.0
22623,37311,550146.0,11780.0
22624,37312,1096525.0,17040.0
22625,37313,26515.0,550.0
22626,37317,53688.0001,1110.0
22627,37318,37090.0,900.0
22628,37321,436543.0,8450.0
22629,37322,191498.0,3880.0
22630,37323,726241.0,14520.0
22631,37324,106800.0001,2380.0
22632,37325,42614.0,800.0
22633,37327,316387.0,5540.0
22634,37328,32734.0,650.0
22635,37329,131087.0,2440.0
22636,37330,197104.0,3340.0
22637,37331,159745.0,3460.0
22638,37332,59377.0,1170.0
22639,37333,7812.0002,200.0
22640,37334,624253.0,10700.0
22641,37335,61177.0001,1200.0
22642,37336,139435.0,2130.0
22643,37337,30497.0,640.0
22644,37338,67063.0001,1430.0
22645,37339,31779.0,790.0
22646,37340,14185.0001,300.0
22647,37341,464414.0,6730.0
22648,37342,95558.0,1770.0
22649,37343,1552970.0,21900.0
22650,37345,47750.0,990.0
22651,37347,237172.0,4010.0
22652,37348,26792.0,550.0
22653,37350,339993.0,1020.0
22654,37351,7818.0002,190.0
22655,37352,103387.0,1500.0
22656,37353,177618.0,2370.0
22657,37354,373584.0,7600.0
22658,37355,704350.0,12820.0
22659,37356,77175.0,1230.0
22660,37357,133867.0,2580.0
22661,37359,16468.0001,300.0
22662,37360,56598.0,790.0
22663,37361,39634.0,750.0
22664,37362,72427.0,1500.0
22665,37363,1872939.0,19140.0
22666,37365,23255.0001,560.0
22667,37366,23758.0001,450.0
22668,37367,183033.0,4220.0
22669,37369,21629.0002,390.0
22670,37370,117786.0001,2180.0
22671,37373,90658.0,1490.0
22672,37374,34808.0,770.0
22673,37375,92790.0,1130.0
22674,37376,7757.0002,170.0
22675,37377,1042607.0,7730.0
22676,37379,950722.0,13130.0
22677,37380,157070.0,2900.0
22678,37381,232859.0,4010.0
22679,37385,166184.0,3330.0
22680,37387,72624.0,1720.0
22681,37388,715712.0,12420.0
22682,37391,31199.0001,610.0
22683,37396,5698.0002,150.0
22684,37397,209941.0,4130.0
22685,37398,455347.0,7380.0
22686,37402,289597.0,1810.0
22687,37403,125391.0,1410.0
22688,37404,292296.0,5910.0
22689,37405,1461243.0,9320.0
22690,37406,211215.0,6090.0
22691,37407,88327.0,3260.0
22692,37408,193220.0,1790.0
22693,37409,104628.0,1560.0
22694,37410,38512.0001,1690.0
22695,37411,393096.0,9050.0
22696,37412,500740.0,10920.0
22697,37415,847301.0,12430.0
22698,37416,444799.0,7860.0
22699,37419,305805.0,3190.0
22700,37421,1774160.0,25270.0
22701,37601,882605.0,16360.0
22702,37604,1025706.0,16580.0
22703,37615,926927.0,10870.0
22704,37616,115328.0,2230.0
22705,37617,421287.0,6570.0
22706,37618,309598.0,5770.0
22707,37620,986268.0,17690.0
22708,37640,96451.0,1490.0
22709,37641,200098.0,4040.0
22710,37642,324242.0,6810.0
22711,37643,674388.0,14180.0
22712,37645,130256.0001,2480.0
22713,37650,249560.0,5250.0
22714,37656,95808.0,1760.0
22715,37657,17018.0002,340.0
22716,37658,73781.0,1770.0
22717,37659,934647.0,13780.0
22718,37660,986883.0,17620.0
22719,37663,491737.0,7240.0
22720,37664,883710.0,13440.0
22721,37665,78091.0,2190.0
22722,37680,9717.0001,250.0
22723,37681,150493.0,2820.0
22724,37683,212724.0,4670.0
22725,37686,327253.0,4260.0
22726,37687,85705.0001,1830.0
22727,37688,27378.0,440.0
22728,37690,109014.0,2060.0
22729,37691,18637.0001,360.0
22730,37692,112131.0001,2130.0
22731,37694,37486.0,820.0
22732,37701,264260.0,4230.0
22733,37705,166628.0,2340.0
22734,37708,152629.0,3120.0
22735,37709,102876.0,1810.0
22736,37710,13994.0003,380.0
22737,37711,100269.0001,2200.0
22738,37713,26555.0001,630.0
22739,37714,97781.0,1850.0
22740,37715,9030.0002,270.0
22741,37716,712825.0,11900.0
22742,37721,365381.0,6260.0
22743,37722,117094.0001,2800.0
22744,37723,21672.0001,460.0
22745,37724,37707.0,930.0
22746,37725,606237.0,8740.0
22747,37726,31133.0,740.0
22748,37727,40895.0,930.0
22749,37729,15828.0001,430.0
22750,37731,11639.0003,270.0
22751,37737,212701.0,3110.0
22752,37738,202392.0,3030.0
22753,37742,200188.0,2950.0
22754,37743,533973.0,11030.0
22755,37745,433890.0,8320.0
22756,37748,417137.0,7690.0
22757,37752,135015.0,2490.0
22758,37753,15074.0002,370.0
22759,37754,120821.0,2180.0
22760,37755,56818.0,1290.0
22761,37756,49344.0,1090.0
22762,37757,228494.0,4230.0
22763,37760,303941.0,5720.0
22764,37762,46255.0,1120.0
22765,37763,543225.0,7560.0
22766,37764,311503.0,5590.0
22767,37765,5852.0002,170.0
22768,37766,363703.0,7020.0
22769,37769,113608.0001,2570.0
22770,37770,54355.0,1080.0
22771,37771,451392.0,7910.0
22772,37772,646364.0,6790.0
22773,37774,941927.0,10900.0
22774,37777,561269.0,6340.0
22775,37779,68019.0,1550.0
22776,37801,812930.0,14000.0
22777,37803,1216542.0,16030.0
22778,37804,693402.0,12160.0
22779,37806,74445.0,1540.0
22780,37807,209521.0,4360.0
22781,37809,42770.0,890.0
22782,37810,36537.0,800.0
22783,37811,78357.0,1520.0
22784,37813,317656.0,7490.0
22785,37814,783181.0,14840.0
22786,37818,100919.0001,2330.0
22787,37819,8100.0002,210.0
22788,37820,186452.0,3660.0
22789,37821,399380.0,9840.0
22790,37825,154891.0,3210.0
22791,37826,103093.0001,2110.0
22792,37829,38253.0,710.0
22793,37830,1108138.0,15630.0
22794,37840,214201.0,4120.0
22795,37841,180237.0,3790.0
22796,37843,83088.0001,1720.0
22797,37846,104387.0001,2170.0
22798,37847,44183.0,1010.0
22799,37848,6200.0003,130.0
22800,37849,826710.0,13010.0
22801,37852,37939.0,960.0
22802,37853,101313.0,1700.0
22803,37854,295844.0,5510.0
22804,37857,407883.0,8760.0
22805,37860,103423.0,1930.0
22806,37861,188490.0,3710.0
22807,37862,591571.0,10730.0
22808,37863,146093.0,3300.0
22809,37865,651152.0,11240.0
22810,37866,65221.0,920.0
22811,37869,73698.0,1890.0
22812,37870,77905.0001,1670.0
22813,37871,228165.0,4320.0
22814,37872,42458.0,900.0
22815,37873,78857.0,1770.0
22816,37874,338671.0,6750.0
22817,37876,823174.0,15310.0
22818,37877,242823.0,4180.0
22819,37878,11710.0002,200.0
22820,37879,189694.0,4210.0
22821,37880,110511.0,1690.0
22822,37881,38600.0,900.0
22823,37882,112608.0,1560.0
22824,37885,282756.0,2910.0
22825,37886,184629.0,2060.0
22826,37887,114201.0,2310.0
22827,37888,51270.0,1050.0
22828,37890,174780.0,3240.0
22829,37891,78593.0001,1610.0
22830,37892,31593.0,780.0
22831,37902,175385.0,1100.0
22832,37909,494985.0,7920.0
22833,37912,472599.0,11160.0
22834,37914,458937.0,9960.0
22835,37915,69388.0001,2240.0
22836,37916,32892.0001,1160.0
22837,37917,529863.0,11630.0
22838,37918,1258379.0,21460.0
22839,37919,2393884.0,14790.0
22840,37920,1086695.0,19050.0
22841,37921,603805.0,13400.0
22842,37922,3397707.0,18690.0
22843,37923,1023400.0,15520.0
