RegionName,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023
10307,"1,142.80","1,154.30","1,166.00","1,177.80","1,189.70","1,201.70","1,213.80","1,226.10","1,238.50","1,251.00","1,263.60","1,276.40","1,289.30","1,305.50","1,322.40","1,320.40","1,251.90","1,284.80","1,349.60","1,456.10","1,459.80","1,451.20","1,453.10","1,425.00",#DIV/0!,"1,347.30","1,374.10","1,428.80","1,473.50","1,478.20","1,485.40","1,522.70","1,470.70","1,477.10","1,412.50","1,446.10","1,460.40","1,504.90","1,546.20","1,537.20","1,592.30","1,622.60","1,642.20","1,614.30","1,602.90","1,620.60","1,620.40","1,601.40","1,556.50","1,572.50","1,590.00","1,644.40","1,648.50","1,630.80","1,609.70","1,628.00","1,649.50","1,670.60","1,610.60","1,597.70","1,623.80","1,667.50","1,682.40","1,677.80","1,703.20","1,823.40","1,872.90","1,873.40","1,911.50","1,893.00","1,874.80","1,838.00","1,812.50","1,828.70","1,894.70","1,922.50","1,980.40","1,944.80","1,978.70","1,974.30","1,995.40","1,948.90","1,980.30","1,968.10","1,960.50","2,004.30","2,049.10","2,079.60","2,126.20","2,099.50","2,128.10","2,152.40","2,208.30","2,200.50","2,120.90","2,182.00"
10310,"1,142.80","1,154.30","1,166.00","1,177.80","1,189.70","1,201.70","1,213.80","1,226.10","1,238.50","1,251.00","1,263.60","1,276.40","1,289.30","1,305.50","1,322.40","1,320.40","1,251.90","1,284.80","1,349.60","1,456.10","1,459.80","1,451.20","1,453.10","1,425.00",#DIV/0!,"1,347.30","1,374.10","1,428.80","1,473.50","1,478.20","1,485.40","1,522.70","1,470.70","1,477.10","1,412.50","1,446.10","1,460.40","1,504.90","1,546.20","1,537.20","1,592.30","1,622.60","1,642.20","1,614.30","1,602.90","1,620.60","1,620.40","1,601.40","1,556.50","1,572.50","1,590.00","1,644.40","1,648.50","1,630.80","1,609.70","1,628.00","1,649.50","1,670.60","1,610.60","1,597.70","1,623.80","1,667.50","1,682.40","1,677.80","1,703.20","1,823.40","1,872.90","1,873.40","1,911.50","1,893.00","1,874.80","1,838.00","1,812.50","1,828.70","1,894.70","1,922.50","1,980.40","1,944.80","1,978.70","1,974.30","1,995.40","1,948.90","1,980.30","1,968.10","1,960.50","2,004.30","2,049.10","2,079.60","2,126.20","2,099.50","2,128.10","2,152.40","2,208.30","2,200.50","2,120.90","2,182.00"
10464,"1,317.00","1,314.60","1,346.40","1,382.50","1,409.10","1,433.00","1,416.70","1,420.90","1,374.40","1,391.40","1,372.70","1,378.70","1,385.80","1,406.50","1,447.50","1,469.30","1,482.00","1,471.00","1,465.60","1,463.00","1,469.80","1,480.80","1,505.00","1,539.10","1,547.10","1,546.70","1,553.50","1,588.40","1,604.90","1,576.20","1,532.90","1,529.40","1,545.30","1,555.80","1,558.90","1,570.10","1,598.10","1,612.40","1,631.70","1,644.50","1,646.30","1,660.30","1,681.60","1,712.20","1,711.60","1,691.10","1,693.30","1,693.90","1,697.10","1,685.90","1,658.90","1,658.90","1,667.50","1,690.50","1,716.00","1,748.50","1,753.80","1,733.60","1,735.60","1,718.50","1,711.50","1,716.30","1,750.40","1,773.40","1,779.60","1,778.60","1,820.70","1,848.40","1,877.20","1,822.20","1,783.40","1,748.10","1,780.50","1,787.40","1,830.40","1,831.60","1,831.00","1,829.50","1,844.20","1,839.50","1,800.30","1,754.50","1,744.70","1,860.00","1,901.00","1,938.70","1,883.70","1,972.60","1,956.50","2,026.60","2,087.30","2,125.80","2,127.90","2,096.50","2,104.50","2,117.00"
10470,"1,317.00","1,314.60","1,346.40","1,382.50","1,409.10","1,433.00","1,416.70","1,420.90","1,374.40","1,391.40","1,372.70","1,378.70","1,385.80","1,406.50","1,447.50","1,469.30","1,482.00","1,471.00","1,465.60","1,463.00","1,469.80","1,480.80","1,505.00","1,539.10","1,547.10","1,546.70","1,553.50","1,588.40","1,604.90","1,576.20","1,532.90","1,529.40","1,545.30","1,555.80","1,558.90","1,570.10","1,598.10","1,612.40","1,631.70","1,644.50","1,646.30","1,660.30","1,681.60","1,712.20","1,711.60","1,691.10","1,693.30","1,693.90","1,697.10","1,685.90","1,658.90","1,658.90","1,667.50","1,690.50","1,716.00","1,748.50","1,753.80","1,733.60","1,735.60","1,718.50","1,711.50","1,716.30","1,750.40","1,773.40","1,779.60","1,778.60","1,820.70","1,848.40","1,877.20","1,822.20","1,783.40","1,748.10","1,780.50","1,787.40","1,830.40","1,831.60","1,831.00","1,829.50","1,844.20","1,839.50","1,800.30","1,754.50","1,744.70","1,860.00","1,901.00","1,938.70","1,883.70","1,972.60","1,956.50","2,026.60","2,087.30","2,125.80","2,127.90","2,096.50","2,104.50","2,117.00"
10474,"1,317.00","1,314.60","1,346.40","1,382.50","1,409.10","1,433.00","1,416.70","1,420.90","1,374.40","1,391.40","1,372.70","1,378.70","1,385.80","1,406.50","1,447.50","1,469.30","1,482.00","1,471.00","1,465.60","1,463.00","1,469.80","1,480.80","1,505.00","1,539.10","1,547.10","1,546.70","1,553.50","1,588.40","1,604.90","1,576.20","1,532.90","1,529.40","1,545.30","1,555.80","1,558.90","1,570.10","1,598.10","1,612.40","1,631.70","1,644.50","1,646.30","1,660.30","1,681.60","1,712.20","1,711.60","1,691.10","1,693.30","1,693.90","1,697.10","1,685.90","1,658.90","1,658.90","1,667.50","1,690.50","1,716.00","1,748.50","1,753.80","1,733.60","1,735.60","1,718.50","1,711.50","1,716.30","1,750.40","1,773.40","1,779.60","1,778.60","1,820.70","1,848.40","1,877.20","1,822.20","1,783.40","1,748.10","1,780.50","1,787.40","1,830.40","1,831.60","1,831.00","1,829.50","1,844.20","1,839.50","1,800.30","1,754.50","1,744.70","1,860.00","1,901.00","1,938.70","1,883.70","1,972.60","1,956.50","2,026.60","2,087.30","2,125.80","2,127.90","2,096.50","2,104.50","2,117.00"
10475,"1,317.00","1,314.60","1,346.40","1,382.50","1,409.10","1,433.00","1,416.70","1,420.90","1,374.40","1,391.40","1,372.70","1,378.70","1,385.80","1,406.50","1,447.50","1,469.30","1,482.00","1,471.00","1,465.60","1,463.00","1,469.80","1,480.80","1,505.00","1,539.10","1,547.10","1,546.70","1,553.50","1,588.40","1,604.90","1,576.20","1,532.90","1,529.40","1,545.30","1,555.80","1,558.90","1,570.10","1,598.10","1,612.40","1,631.70","1,644.50","1,646.30","1,660.30","1,681.60","1,712.20","1,711.60","1,691.10","1,693.30","1,693.90","1,697.10","1,685.90","1,658.90","1,658.90","1,667.50","1,690.50","1,716.00","1,748.50","1,753.80","1,733.60","1,735.60","1,718.50","1,711.50","1,716.30","1,750.40","1,773.40","1,779.60","1,778.60","1,820.70","1,848.40","1,877.20","1,822.20","1,783.40","1,748.10","1,780.50","1,787.40","1,830.40","1,831.60","1,831.00","1,829.50","1,844.20","1,839.50","1,800.30","1,754.50","1,744.70","1,860.00","1,901.00","1,938.70","1,883.70","1,972.60","1,956.50","2,026.60","2,087.30","2,125.80","2,127.90","2,096.50","2,104.50","2,117.00"
10803,"1,317.00","1,314.60","1,346.40","1,382.50","1,409.10","1,433.00","1,416.70","1,420.90","1,374.40","1,391.40","1,372.70","1,378.70","1,385.80","1,406.50","1,447.50","1,469.30","1,482.00","1,471.00","1,465.60","1,463.00","1,469.80","1,480.80","1,505.00","1,539.10","1,547.10","1,546.70","1,553.50","1,588.40","1,604.90","1,576.20","1,532.90","1,529.40","1,545.30","1,555.80","1,558.90","1,570.10","1,598.10","1,612.40","1,631.70","1,644.50","1,646.30","1,660.30","1,681.60","1,712.20","1,711.60","1,691.10","1,693.30","1,693.90","1,697.10","1,685.90","1,658.90","1,658.90","1,667.50","1,690.50","1,716.00","1,748.50","1,753.80","1,733.60","1,735.60","1,718.50","1,711.50","1,716.30","1,750.40","1,773.40","1,779.60","1,778.60","1,820.70","1,848.40","1,877.20","1,822.20","1,783.40","1,748.10","1,780.50","1,787.40","1,830.40","1,831.60","1,831.00","1,829.50","1,844.20","1,839.50","1,800.30","1,754.50","1,744.70","1,860.00","1,901.00","1,938.70","1,883.70","1,972.60","1,956.50","2,026.60","2,087.30","2,125.80","2,127.90","2,096.50","2,104.50","2,117.00"
11204,"1,786.60","1,813.20","1,858.70","1,913.30","1,913.40","1,929.60","1,931.80","1,960.50","1,963.00","1,940.20","1,955.90","1,962.90","2,000.50","2,001.50","1,997.40","2,012.50","2,004.50","2,053.60","2,082.10","2,096.20","2,044.70","1,999.90","2,035.10","2,097.70","2,120.30","2,125.90","2,127.00","2,140.20","2,124.60","2,087.00","2,068.40","2,073.00","2,099.40","2,129.50","2,105.70","2,106.80","2,087.80","2,125.20","2,133.40","2,159.00","2,157.00","2,151.60","2,161.00","2,165.60","2,181.60","2,143.40","2,118.20","2,131.70","2,188.30","2,199.70","2,197.90","2,156.50","2,191.90","2,195.30","2,195.60","2,170.60","2,164.80","2,203.80","2,221.50","2,227.20","2,209.60","2,237.00","2,234.20","2,258.20","2,244.40","2,249.40","2,200.30","2,161.30","2,098.40","2,076.20","2,058.00","2,066.80","2,096.00","2,102.30","2,132.00","2,150.80","2,175.30","2,179.20","2,195.50","2,223.60","2,179.00","2,178.10","2,186.50","2,203.90","2,239.60","2,288.80","2,281.80","2,340.40","2,355.20","2,412.60","2,427.60","2,421.60","2,420.10","2,376.00","2,375.60","2,383.60"
11239,"1,905.90","1,875.50","1,930.00","1,965.30","2,024.60","2,028.30","2,061.00","2,068.30","2,070.10","2,051.90","2,039.60","2,041.00","2,100.70","2,133.70","2,166.20","2,158.70","2,161.30","2,160.90","2,149.00","2,140.10","2,158.10","2,185.50","2,193.40","2,171.70","2,168.40","2,203.90","2,189.10","2,165.80","2,143.10","2,185.00","2,221.10","2,226.70","2,218.70","2,202.50","2,197.60","2,188.40","2,194.50","2,213.30","2,226.10","2,254.60","2,254.20","2,268.30","2,260.40","2,268.80","2,298.70","2,275.60","2,290.60","2,270.70","2,322.80","2,312.50","2,334.80","2,338.30","2,370.70","2,379.00","2,377.70","2,367.60","2,351.90","2,381.20","2,392.40","2,435.20","2,417.60","2,428.90","2,428.50","2,414.30","2,401.90","2,355.10","2,317.90","2,260.90","2,233.60","2,211.90","2,226.00","2,197.40","2,191.40","2,148.70","2,212.20","2,277.90","2,365.30","2,396.50","2,413.20","2,450.00","2,456.40","2,512.30","2,516.80","2,516.90","2,488.40","2,524.50","2,669.30","2,815.00","2,932.60","2,951.00","2,977.60","2,978.70","2,965.60","2,903.30","2,850.70","2,823.50"
11241,"1,905.90","1,875.50","1,930.00","1,965.30","2,024.60","2,028.30","2,061.00","2,068.30","2,070.10","2,051.90","2,039.60","2,041.00","2,100.70","2,133.70","2,166.20","2,158.70","2,161.30","2,160.90","2,149.00","2,140.10","2,158.10","2,185.50","2,193.40","2,171.70","2,168.40","2,203.90","2,189.10","2,165.80","2,143.10","2,185.00","2,221.10","2,226.70","2,218.70","2,202.50","2,197.60","2,188.40","2,194.50","2,213.30","2,226.10","2,254.60","2,254.20","2,268.30","2,260.40","2,268.80","2,298.70","2,275.60","2,290.60","2,270.70","2,322.80","2,312.50","2,334.80","2,338.30","2,370.70","2,379.00","2,377.70","2,367.60","2,351.90","2,381.20","2,392.40","2,435.20","2,417.60","2,428.90","2,428.50","2,414.30","2,401.90","2,355.10","2,317.90","2,260.90","2,233.60","2,211.90","2,226.00","2,197.40","2,191.40","2,148.70","2,212.20","2,277.90","2,365.30","2,396.50","2,413.20","2,450.00","2,456.40","2,512.30","2,516.80","2,516.90","2,488.40","2,524.50","2,669.30","2,815.00","2,932.60","2,951.00","2,977.60","2,978.70","2,965.60","2,903.30","2,850.70","2,823.50"
