RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023
61623,457,10009,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2923.813509,2973.57887,2992.811452,3015.525686,3030.447695,3047.72676,3039.041599,3022.568283,2998.163874,2989.558495,2973.278634,2986.712436,3005.664359,3041.084477,3069.264842,3096.220483,3099.764492,3108.856335,3096.243229,3082.41729,3049.347058,3021.937694,3020.729954,3024.030365,3047.1552,3075.148203,3109.682231,3132.440696,3145.413996,3145.660066,3126.324095,3109.594791,3060.263195,3041.052388,3018.996733,3037.311805,3067.663857,3104.263859,3143.690544,3168.107383,3186.441738,3193.965101,3200.264045,3179.648144,3141.315376,3097.26262,3090.180988,3108.830336,3141.656051,3167.105363,3215.922622,3256.118488,3295.107599,3300.104122,3294.465701,3260.762875,3222.21341,3223.647964,3232.833524,3270.47785,3272.35001,3291.520503,3260.305335,3225.932837,3131.526786,3029.041397,2712.8828,2740.285656,2631.338746,2581.995112,2553.756536,2562.163545,2603.826246,2704.163398,2837.666259,3009.674033,3183.909443,3317.957361,3387.997414,3418.593106,3448.849937,3479.22925,3474.392862,3497.034088,3542.076285,3657.252814,3771.889157,3883.002448,3963.026029,3992.9943,3979.204349,3907.453542,3874.639847,3814.156497,3772.499652
62121,461,11435,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,1384.124866,1403.804706,1448.142862,1467.881414,1486.861548,1453.158993,1462.438649,1458.206881,1468.610151,1466.527286,1462.270718,1488.601419,1508.884116,1497.699308,1502.961547,1505.15824,1539.800729,1522.755135,1575.191684,1591.393322,1608.610002,1561.930404,1537.277522,1554.98932,1568.444887,1614.61341,1616.627535,1608.54839,1593.094607,1603.963155,1616.826786,1629.819179,1614.22147,1604.719435,1597.324651,1615.104437,1635.571538,1644.9381,1643.282716,1650.150831,1654.198875,1669.395383,1677.329351,1695.189508,1703.533091,1695.045652,1704.770634,1692.478404,1684.722876,1648.180015,1660.124743,1698.247841,1724.564055,1701.008831,1696.43904,1694.536649,1716.883804,1705.051578,1697.836896,1694.672349,1710.700979,1773.440398,1748.655964,1767.500462,1746.054255,1780.187975,1754.4997,1734.012543,1753.406588,1745.837573,1752.541819,1761.396964,1759.705056,1795.217355,1759.225838,1771.572895,1741.064141,1820.529996,1823.409381,1841.827658,1785.800497,1758.886849,1792.119452,1824.291932,1856.90638,1873.783527,1882.262264,1968.479805,1979.071942,2027.801057,2000.408672,2029.197387,1970.377764,1977.136904,1944.715741
61638,462,10024,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2993.786006,3016.389396,3039.60656,3053.575514,3065.093628,3082.930123,3088.862544,3096.587861,3109.282664,3094.171732,3087.440185,3057.81723,3061.085061,3055.644237,3072.074982,3099.65809,3076.100652,3078.216182,3072.637421,3096.986672,3076.660868,3018.051424,3005.63693,3005.584128,3055.884465,3067.277812,3098.561286,3104.242707,3118.232665,3122.937099,3122.610109,3096.732426,3066.035902,3049.764584,3072.95311,3080.042964,3092.782545,3096.241355,3112.567249,3123.278443,3128.982274,3152.071714,3168.719012,3159.920747,3147.471716,3115.915174,3130.201487,3128.507244,3146.469126,3164.410691,3198.176543,3214.741467,3229.204247,3228.412768,3254.356413,3251.414052,3243.71317,3208.636719,3215.942956,3234.497915,3244.102882,3215.204615,3174.808144,3140.723087,3110.304594,3048.554612,2983.69178,2900.936151,2811.886347,2756.45917,2713.347899,2723.366376,2736.203944,2784.46381,2862.276806,2962.918398,3080.993175,3178.497698,3251.226276,3299.006545,3340.657266,3402.082253,3417.216793,3443.018865,3473.826561,3550.114352,3624.923477,3704.613434,3805.383426,3848.683185,3862.515091,3806.579993,3776.297704,3735.0918,3725.222626
62036,477,11225,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1999.641466,2038.43236,2098.544363,2078.023155,2097.95981,2105.678622,2149.741457,2155.734254,2166.952417,2133.99018,2131.651173,2115.830177,2133.658605,2140.386088,2150.427457,2174.804125,2205.047032,2228.505648,2235.866313,2241.749772,2238.547683,2207.704907,2183.300389,2170.127989,2172.783987,2185.041327,2202.249432,2244.608942,2257.994863,2268.415225,2256.258439,2245.180036,2238.948306,2225.142693,2233.688963,2235.408337,2259.113556,2265.897944,2283.143302,2287.721259,2317.014733,2329.721015,2336.835329,2318.601176,2319.807623,2313.318698,2325.011392,2319.362956,2325.009012,2296.987893,2314.904429,2339.553095,2376.549479,2405.262582,2412.652666,2433.118764,2394.726829,2377.890208,2370.938267,2398.301796,2405.208079,2383.756084,2379.389751,2368.765795,2348.960614,2322.743305,2277.878796,2246.317807,2196.052481,2171.594249,2166.253926,2171.610824,2181.967251,2233.309468,2261.215616,2312.687852,2321.195302,2352.028389,2368.346844,2400.96003,2403.029225,2416.953767,2401.361671,2422.414995,2479.404836,2561.529597,2628.868043,2655.937203,2682.646557,2711.75291,2748.045224,2765.85719,2749.718588,2729.146035,2705.965033
61647,482,10033,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,1976.491186,1975.20379,1971.70386,1993.27331,2016.990809,2038.513495,2056.600168,2051.102319,2043.125255,2017.454198,2013.583846,2013.719128,2016.672755,2050.29742,2063.166377,2104.613291,2119.58683,2147.749024,2148.247138,2172.453895,2168.075212,2175.650716,2121.452751,2083.137576,2054.838248,2070.954134,2109.525698,2145.439679,2166.897238,2177.519824,2167.003152,2169.527205,2137.236506,2140.953122,2114.141468,2145.313115,2155.299996,2177.066044,2172.520622,2174.470866,2199.342544,2220.530105,2265.038262,2271.582264,2280.246138,2260.341494,2257.756774,2243.954452,2220.924405,2214.110529,2224.873075,2254.337818,2259.421174,2280.832925,2274.70978,2269.468395,2241.701131,2225.541307,2241.643289,2251.514498,2250.424356,2236.830006,2234.02204,2248.166302,2241.661212,2234.134934,2195.856498,2179.548846,2151.125835,2136.836717,2092.059259,2087.251538,2108.733443,2160.190346,2172.289979,2158.022019,2154.171925,2159.466027,2215.326505,2233.826741,2237.433422,2228.527099,2229.003457,2267.008527,2278.462239,2328.288382,2360.902523,2422.70255,2431.324165,2482.805485,2463.998909,2466.357234,2430.72735,2428.414761,2465.888636
61800,496,10460,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,1133.730678,1142.29046,1151.082675,1156.372643,1160.734491,1167.489076,1169.735652,1172.661188,1177.468642,1171.746213,1169.197013,1157.978958,1159.216469,1157.156058,1163.378292,1173.823867,1164.902792,1165.703932,1163.591285,1172.812216,1165.114943,1142.919861,1138.218559,1138.198563,1157.247031,1161.56163,1173.408514,1175.560037,1180.857959,1182.639503,1182.515674,1172.715934,1161.091325,1154.929465,1163.710835,1166.395724,1171.220135,1172.529968,1178.712497,1182.768768,1184.928778,1193.672625,1199.976867,1196.645012,1191.930631,1179.980338,1185.390488,1184.748887,1191.550955,1198.34533,1211.132276,1217.405324,1222.882301,1222.582572,1232.407291,1231.293035,1228.376752,1215.093489,1217.860321,1224.886985,1228.524334,1217.580715,1202.282789,1189.374961,1177.855641,1154.471255,1129.908049,1098.568936,1064.846254,1043.85628,1027.530273,1031.324217,1036.185735,1054.461487,1083.92885,1122.041281,1166.755564,1203.680004,1231.221925,1249.316056,1265.08896,1288.350273,1294.081642,1744.201043,1765.357224,1630.232375,1687.646434,1820.56786,1796.791913,1774.948544,1812.640624,1944.549381,1951.605588,1984.616782,1978.666667
61645,598,10031,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,1988.829507,1992.279734,1981.469127,1982.551002,2022.554692,2046.807651,2054.47257,2042.060107,2052.983233,2052.068602,2069.166701,2059.849285,2084.042534,2081.387009,2084.468771,2089.031585,2107.052698,2127.970992,2140.491067,2140.396289,2154.181787,2151.955461,2140.378514,2117.673735,2103.383709,2110.412149,2114.049388,2146.912708,2180.063421,2192.827775,2186.665825,2177.864517,2161.861629,2155.920283,2127.047769,2126.943657,2132.965642,2145.050674,2172.960874,2201.614852,2233.905411,2258.071169,2255.677995,2249.043997,2238.88793,2186.274203,2185.996636,2189.231644,2220.027286,2219.46317,2231.385129,2262.737892,2295.222061,2317.48309,2312.747178,2266.145424,2237.649537,2227.350468,2262.224458,2265.775602,2314.744159,2322.824951,2300.916656,2247.588997,2196.204437,2181.411223,2124.063849,2081.381498,2056.41084,2029.926401,2032.562721,2012.057132,2028.189729,2050.82648,2082.408678,2117.913483,2155.985821,2197.211997,2230.419947,2230.96156,2233.653871,2236.44072,2263.948645,2267.000302,2292.605522,2309.519053,2373.858899,2422.262195,2448.970019,2488.891182,2511.16742,2526.976174,2501.921902,2489.503638,2494.990054
62066,644,11354,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,1779.714492,1784.583496,1820.437004,1834.712886,1829.18812,1853.058559,1864.574271,1886.920801,1906.735922,1926.366726,1942.53144,1954.648988,1952.103186,1967.246252,1954.999779,1957.262776,1929.744853,1939.318597,1959.044178,1993.482012,1981.28546,1982.441234,1979.105027,2005.668839,2019.25713,2037.993648,2034.62218,2028.266386,2011.190236,2007.892024,2030.210789,2042.299711,2037.190154,2016.196757,2023.454188,2047.132373,2087.847324,2088.549112,2060.052172,2043.420878,2044.630904,2098.766955,2104.217557,2091.133639,2069.44887,2066.289553,2095.725759,2097.389767,2106.687408,2086.54432,2089.575978,2079.268726,2090.512142,2093.10245,2081.703424,2064.606948,2061.445396,2102.325955,2132.974264,2144.709054,2145.675177,2158.534272,2154.855026,2122.719111,2078.335939,2056.295712,2025.914066,2036.721031,2051.171045,2089.176476,2051.226579,2025.184443,2009.505051,2051.601932,2056.907331,2068.389089,2081.794597,2135.44289,2123.655382,2125.536164,2153.930386,2177.419063,2183.489765,2137.052013,2205.879582,2184.140405,2242.853284,2274.467911,2357.530542,2415.934102,2384.430884,2394.704122,2363.495292,2352.508232,2344.708995
61617,659,10003,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,3231.429497,3285.429322,3331.864929,3345.322634,3353.124258,3361.349185,3352.003227,3337.718425,3307.081556,3293.129563,3289.799831,3298.06277,3325.643966,3325.43549,3362.993564,3381.381159,3412.683718,3412.359416,3407.185724,3369.692986,3342.980789,3305.781614,3301.315265,3304.003365,3327.409356,3371.180252,3401.714304,3435.604798,3438.304128,3439.190892,3429.350896,3420.674925,3382.060642,3325.010146,3297.216542,3302.617871,3345.427031,3373.329464,3417.958824,3445.38213,3472.575906,3489.677452,3492.986419,3480.016765,3483.376283,3471.720027,3450.070468,3426.922259,3446.160427,3487.371883,3519.329139,3538.198156,3561.312379,3578.952402,3577.474681,3581.007358,3556.220311,3541.203737,3522.725713,3545.202193,3573.600937,3558.858494,3512.70726,3441.358506,3374.512527,3257.227824,3142.021686,3014.316906,2933.695359,2877.678865,2882.255902,2902.343161,2962.709481,3012.728571,3132.540577,3272.868157,3448.285328,3597.791181,3688.380617,3759.711301,3761.855109,3806.788229,3852.755316,3947.10175,4031.579673,4109.647007,4158.315056,4218.191237,4260.949013,4291.078587,4275.60874,4229.178607,4219.254753,4167.619416,4165.333944
61782,760,10306,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Richmond County,1128.915313,1131.737601,1134.566945,1137.403363,1140.246871,1143.097488,1145.955232,1148.82012,1151.69217,1154.571401,1157.457829,1186.394275,1188.331908,1203.401154,1219.00591,1217.192994,1153.975362,1184.161982,1243.303335,1341.841343,1345.576399,1338.335512,1339.775442,1313.331849,1229.470006,1241.888895,1266.665932,1317.075615,1358.251311,1362.801706,1374.101174,1407.822772,1356.58015,1356.265048,1297.409281,1330.426605,1344.476209,1385.267963,1423.916015,1415.848045,1466.973363,1494.777123,1513.01345,1486.696089,1476.343361,1491.752916,1491.815397,1473.48194,1432.907337,1447.712498,1464.491693,1514.227115,1517.629038,1501.688028,1482.357537,1499.179037,1518.192954,1537.600433,1469.24272,1459.555881,1486.16368,1541.005745,1560.290601,1555.511795,1578.7928,1586.337679,1606.484152,1611.055765,1636.961504,1628.768345,1564.535927,1549.490191,1517.22557,1568.461095,1643.899813,1687.744132,1770.275755,1707.685987,1734.058521,1689.526897,1710.477747,1762.626128,1931.264469,1852.565296,1729.020177,1668.751092,1785.965983,1870.655798,1931.277424,1814.695844,1917.85677,1956.049956,2098.776384,2114.796897,2062.5
